H2	4.1	74.2	4116
CO	12.5	74.2	297
CH4	5	15	518
C2H6	3.2	12.5	276
C3H8	2.4	9.5	188
C4H10	1.9	8.4	143
C5H12	1.4	7.8	115
C2H4	3.75	29.6	96
C2H2	2.5	80	319
CH3OH	6.72	36.5	189
